identifier	type	label	abbreviation	parent	description	has role	has family	has function type
BSEO:0000159	owl:Class	Ahlrichs VDZ	Ahlrichs VDZ	BSEO:0000004	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002023	BSEO:0003079|BSEO:0003080
BSEO:0000160	owl:Class	Ahlrichs VTZ	Ahlrichs VTZ	BSEO:0000004	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002023	BSEO:0003079|BSEO:0003080
BSEO:0000161	owl:Class	ANO-DK3	ANO-DK3	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000162	owl:Class	ano-pV5Z	ano-pV5Z	BSEO:0000004		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000163	owl:Class	ano-pVDZ	ano-pVDZ	BSEO:0000004		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000164	owl:Class	ano-pVQZ	ano-pVQZ	BSEO:0000004		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000165	owl:Class	ano-pVTZ	ano-pVTZ	BSEO:0000004		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000166	owl:Class	ANO-R	ANO-R	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000167	owl:Class	ANO-R0	ANO-R0	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000168	owl:Class	ANO-R1	ANO-R1	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000169	owl:Class	ANO-R2	ANO-R2	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000170	owl:Class	ANO-R3	ANO-R3	BSEO:0000005		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000171	owl:Class	ANO-RCC	ANO-RCC	BSEO:0000006	Full ANO-RCC basis	BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000172	owl:Class	ANO-RCC-MB	ANO-RCC-MB	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000173	owl:Class	ANO-RCC-VDZ	ANO-RCC-VDZ	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000174	owl:Class	ANO-RCC-VDZP	ANO-RCC-VDZP	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000175	owl:Class	ANO-RCC-VQZP	ANO-RCC-VQZP	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000176	owl:Class	ANO-RCC-VTZ	ANO-RCC-VTZ	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000177	owl:Class	ANO-RCC-VTZP	ANO-RCC-VTZP	BSEO:0000006		BSEO:0001005	BSEO:0002024	BSEO:0003079|BSEO:0003080
BSEO:0000178	owl:Class	ANO-VT-DZ	ANO-VT-DZ	BSEO:0000005	ANO-VT-DZ (Atomic Natural Orbital - Virial Theorem - Double Zeta)	BSEO:0001005	BSEO:0002025	BSEO:0003079|BSEO:0003080
BSEO:0000179	owl:Class	ANO-VT-QZ	ANO-VT-QZ	BSEO:0000005	ANO-VT-QZ (Atomic Natural Orbital - Virial Theorem - Quadruple Zeta)	BSEO:0001005	BSEO:0002025	BSEO:0003079|BSEO:0003080
BSEO:0000180	owl:Class	ANO-VT-TZ	ANO-VT-TZ	BSEO:0000005	ANO-VT-TZ (Atomic Natural Orbital - Virial Theorem - Triple Zeta)	BSEO:0001005	BSEO:0002025	BSEO:0003079|BSEO:0003080
BSEO:0000181	owl:Class	apr-cc-pV(Q+d)Z	apr-cc-pV(Q+d)Z	BSEO:0000004	apr-cc-pV(Q+d)Z basis of Papajak/Truhlar	BSEO:0001005	BSEO:0002026	BSEO:0003079|BSEO:0003080
BSEO:0000182	owl:Class	asigmaDZ	asigmaDZ	BSEO:0000004	asigmaDZ basis	BSEO:0001005	BSEO:0002027	BSEO:0003079|BSEO:0003080
BSEO:0000183	owl:Class	asigmaQZ	asigmaQZ	BSEO:0000004	asigmaQZ basis	BSEO:0001005	BSEO:0002027	BSEO:0003079|BSEO:0003080
BSEO:0000184	owl:Class	asigmaTZ	asigmaTZ	BSEO:0000004	asigmaTZ basis	BSEO:0001005	BSEO:0002027	BSEO:0003079|BSEO:0003080
BSEO:0000185	owl:Class	ATZP-ZORA	ATZP-ZORA	BSEO:0000004	ATZP-ZORA, augmented all-electron triple-zeta basis for calculations with the ZORA approach	BSEO:0001005	BSEO:0002028	BSEO:0003079|BSEO:0003080
BSEO:0000186	owl:Class	aug-admm-1	aug-admm-1	BSEO:0000004	Auxiliary basis with diffuse functions for use with aug-pcseg-1 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079
BSEO:0000187	owl:Class	aug-admm-2	aug-admm-2	BSEO:0000004	Auxiliary basis with diffuse functions for use with aug-pcseg-2 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079|BSEO:0003080
BSEO:0000188	owl:Class	aug-admm-3	aug-admm-3	BSEO:0000004	Auxiliary basis with diffuse functions for use with aug-pcseg-3 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079|BSEO:0003080
